"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"white, 125",white,125,1,1,1,1,1,1,1,0,0,-1.0
"black, 125",black,125,0,0,0,0,0,0,0,1,0,-0.6
"red, 126",red,126,0,0,0,0,0,0,0,0,0,-0.5
"white, 126",white,126,1,1,1,1,1,1,1,1,0,0.0
"black, 126",black,126,0,0,0,0,0,0,0,0,0,0.5
"red, 127",red,127,1,0,0,0,0,0,0,0,0,0.06666666666666667
"white, 127",white,127,0,1,0,1,1,1,1,0,0,0.3333333333333333
"black, 127",black,127,0,0,0,0,0,0,0,1,1,0.3333333333333333
"red, 128",red,128,0,1,0,0,0,0,0,1,0,-0.5
"white, 128",white,128,1,0,0,1,0,1,1,0,0,0.0
"black, 128",black,128,0,0,0,0,0,0,0,0,0,0.5
"red, 129",red,129,0,0,0,1,0,0,0,0,0,0.0
"white, 129",white,129,1,1,1,0,0,1,0,0,0,0.0
"black, 129",black,129,0,0,0,0,0,0,0,0,0,0.0
"red, 130",red,130,0,0,0,0,0,1,0,0,0,0.0
"white, 130",white,130,1,1,0,1,1,0,0,0,0,0.0
"black, 130",black,130,0,0,0,0,0,0,0,0,0,0.0
